supermercado,producto_nombre,nombre,precio_descuento,precio_normal,precio_por_unidad,unidad,descuentos,url,fecha_extraccion,id_link_producto,fecha,error_type,titulo
Dia,Arroz Largo Fino Cañuelas 1 Kg.,Arroz Largo Fino Cañuelas 1 Kg.,1200.0,1900.0,,,,https://diaonline.supermercadosdia.com.ar/arroz-largo-fino-canuelas-1-kg-296007/p,2026-06-22 19:02:24,2232,,,
Delimart,,Sal Fina Salero Corrediza Celusal x 500 Gr,5069.39,5069.39,0,,Ninguno,https://www.delimart.com.ar/sal_fina_salero_corrediza_celusal_x_500_gr,,3977,2026-06-22,,
Depot,,VINF DILEMA DAY MALBEC 750X,3583.58,3583.58,0,,Ninguno,https://depotexpress.com.ar/productos/bebidas-c-alcohol/vinos-y-espumantes/vino-dilema-day-malbec-x-750/,,3613,2026-06-22,,
Delimart,,Yerba Mate Secadero Bajo Contenido de Polvo 1 Kg,4948.35,4948.35,0,,Ninguno,https://www.delimart.com.ar/yerba_mate_secadero_bajo_contenido_de_polvo_1_kg,,4233,2026-06-22,,
Dia,Dulce de Leche DIA 1 Kg.,Dulce de Leche DIA 1 Kg.,6500.0,6500.0,,,,https://diaonline.supermercadosdia.com.ar/dulce-de-leche-dia-1-kg-8500/p,2026-06-22 19:03:12,2278,,,
Carrefour,,Queso crema entero San ignacio en pote 290 g,3769,3769,12996.55,1 K.,Ninguno,https://www.carrefour.com.ar/queso-crema-entero-san-ignacio-en-pote-290-g-726389/p,,2913,2026-06-22,,
Depot,,GALS A.SERRANITAS RED 315X,956.25,956.25,0,,Ninguno,https://depotexpress.com.ar/productos/ofertas/gals-a-serranitas-red-315x/,,3446,2026-06-22,,
,,Vino tinto Malbec Marcus 750 ml,,,,,,https://www.carrefour.com.ar/vino-tinto-malbec-marcus-750-cc/p,,3170,,no_disponible,Vino tinto Malbec Marcus 750 ml - Carrefour
Carrefour,,Arroz largo fino Gallo 00000 en bolsa 1 kg,2399,2399,2399,1 K.,Ninguno,https://www.carrefour.com.ar/arroz-largo-fino-gallo-00000-en-bolsa-1-kg-718789/p,,2851,2026-06-22,,
Delimart,,Galletitas De Agua Original Criollitas 500 Gr,3304.21,3304.21,0,,Ninguno,https://www.delimart.com.ar/galletitas_de_agua_original_criollitas_500_gr2,,3847,2026-06-22,,
,,Mortadela con queso Paladini 300 g.,,,,,,https://www.carrefour.com.ar/mortadela-con-queso-paladini-300-g/p,,3262,,no_disponible,Carrefour
Delimart,,Café Dolca Suave Frasco x170 Gr,12726.72,12726.72,0,,Ninguno,https://www.delimart.com.ar/cafe_dolca_suave_frasco_x170_gr,,4177,2026-06-22,,
Delimart,,Galletitas Serranitas Saladas 105 G,616.66,616.66,0,,Ninguno,https://www.delimart.com.ar/galletitas_serranitas_saladas_105_g,,3837,2026-06-22,,
Delimart,,Queso Crema Clasico Tregar 190g,3366.62,3366.62,0,,Ninguno,https://www.delimart.com.ar/queso_crema_clasico_tregar_190g,,3907,2026-06-22,,
,,"Gaseosa pomelo Paso de los Toros 2,25 lts",,,,,,https://www.carrefour.com.ar/gaseosa-pomelo-paso-de-los-toros-225-lts-15444/p,,3071,,no_disponible,Carrefour
,,,,,,,,https://www.carrefour.com.ar/vinagre-de-alcohol-alcazar-1-l/p,,2999,,404,Carrefour - Las mejores ofertas en supermercados
Delimart,,Cereales Aritos Frutales Naturalmente Granix x 130 Gr,2016.41,2016.41,0,,Ninguno,https://www.delimart.com.ar/cereales_aritos_frutales_naturalmente_granix_x_130_gr,,3945,2026-06-22,,
Carrefour,,Galletitas dulces Lincoln coco Terrabusi 153 g.,1850,1850,11419.75,1 K.,Ninguno,https://www.carrefour.com.ar/galletitas-dulces-lincoln-coco-terrabusi-153-g-521106/p,,2786,2026-06-22,,
Delimart,,Jugo Frutos de Estacion Naranja y Frutilla Citric 1 L,3973.00,3973.00,0,,Ninguno,https://www.delimart.com.ar/jugo_frutos_de_estacion_naranja_y_frutilla_citric_1_l,,4087,2026-06-22,,
Delimart,,YERBA MATE CHAMIGO X1KG,5011.38,5011.38,0,,Ninguno,https://www.delimart.com.ar/yerba_mate_chamigo_x1kg,,4235,2026-06-22,,
Dia,Jabón Liquido Para Lavar Ropa Granby Bicarbonato Baja Espuma De Limón 3 Lt.,Jabón Liquido Para Lavar Ropa Granby Bicarbonato Baja Espuma De Limón 3 Lt.,10583.0,10583.0,,,,https://diaonline.supermercadosdia.com.ar/jabon-liquido-para-lavar-ropa-granby-bicarbonato-baja-espuma-de-limon-3-lt-300035/p,2026-06-22 19:06:08,2623,,,
Delimart,,Lavandina Sedille 2 L,2235.37,2235.37,0,,Ninguno,https://www.delimart.com.ar/lavandina_sedille_2_l,,4363,2026-06-22,,
Dia,Vino Tinto Alma Mora Malbec 750 ml.,Vino Tinto Alma Mora Malbec 750 ml.,5990.0,7734.0,,,,https://diaonline.supermercadosdia.com.ar/vino-tinto-alma-mora-malbec-750-ml-104269/p,2026-06-22 19:06:19,2421,,,
Depot,,ACGI NATURA 900X,3408.78,3408.78,0,,Ninguno,https://depotexpress.com.ar/productos/limpieza/aceite-natura-x-900c-c/,,3469,2026-06-22,,
Delimart,,Cerveza Corona 473 cc pack x6,15535.50,22193.57,0,,Ninguno,https://www.delimart.com.ar/cerveza_corona_473_cc_pack_x6,,4127,2026-06-22,,
