error_type,url,nombre,titulo,id_link_producto,precio_normal,precio_descuento,precio_por_unidad,unidad,descuentos,fecha,supermercado,producto_nombre,fecha_extraccion
,https://www.delimart.com.ar/jabon_liquido_skip_para_diluir_x500ml,Jabón Liquido Skip Para Diluir X500ml,,4365,11373.93,11373.93,0,,Ninguno,2026-06-13,Delimart,,
exception,https://www.delimart.com.ar/cafe_instantaneo_nescafe_dolca_aroma_original_50_g,,"Message: 
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7ce92fd95+15395]
	chromedriver!GetHandleVerifier [0x7ff7ce92fdf0+153f0]
	chromedriver!(No symbol) [0x7ff7ce4678fd]
	chromedriver!(No symbol) [0x7ff7ce4c1479]
	chromedriver!(No symbol) [0x7ff7ce4c177c]
	chromedriver!(No symbol) [0x7ff7ce511ef7]
	chromedriver!(No symbol) [0x7ff7ce50eaeb]
	chromedriver!(No symbol) [0x7ff7ce4b3a58]
	chromedriver!(No symbol) [0x7ff7ce4b4953]
	chromedriver!GetHandleVerifier [0x7ff7ceef5511+5dab11]
	chromedriver!GetHandleVerifier [0x7ff7ceeef8fb+5d4efb]
	chromedriver!GetHandleVerifier [0x7ff7cef13205+5f8805]
	chromedriver!GetHandleVerifier [0x7ff7ce94cc6e+3226e]
	chromedriver!GetHandleVerifier [0x7ff7ce95562c+3ac2c]
	chromedriver!GetHandleVerifier [0x7ff7ce939984+1ef84]
	chromedriver!GetHandleVerifier [0x7ff7ce939b14+1f114]
	chromedriver!GetHandleVerifier [0x7ff7ce91ca77+2077]
	KERNEL32!BaseThreadInitThunk [0x7ffd6194e957+17]
	ntdll!RtlUserThreadStart [0x7ffd62787c1c+2c]
",4186,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/nesquik-cereal-210-grs-721284/p,Nesquik cereal 210 grs,Carrefour,2945,,,,,,,,,
404,https://www.carrefour.com.ar/vainillas-carrefour-flow-pack-444-g-700137/p,,Carrefour - Las mejores ofertas en supermercados,2675,,,,,,,,,
,https://www.delimart.com.ar/cafe_la_virginia_clasico_frasco_x50_gr,Cafe La Virginia Clasico Frasco x50 Gr,,4179,3184.33,3184.33,0,,Ninguno,2026-06-13,Delimart,,
no_disponible,https://www.carrefour.com.ar/edulcorante-liquido-carrefour-classic-con-stevia-250-ml-661992/p,Edulcorante líquido Carrefour Classic con stevia 250 ml,Carrefour,2971,,,,,,,,,
,https://www.delimart.com.ar/acondicionador_tresemme_cauterizacion_reparadora_250_ml,Acondicionador Tresemme Cauterizacion Reparadora 250 ml,,4325,7672.67,7672.67,0,,Ninguno,2026-06-13,Delimart,,
,https://www.delimart.com.ar/toalla_calipso_normal_x82,Toalla Calipso Normal X8,,4351,1097.93,1097.93,0,,Ninguno,2026-06-13,Delimart,,
,https://www.delimart.com.ar/lechuga_criolla__bolsa_x250_gr,Lechuga Criolla bolsa x250 Gr,,4296,3164.32,3164.32,0,,Ninguno,2026-06-13,Delimart,,
no_disponible,https://www.carrefour.com.ar/medio-pollo-congelado-x-kg-738510/p,Medio pollo congelado x kg.,Carrefour,3251,,,,,,,,,
,https://www.delimart.com.ar/acondicionador_suave_brilloceramidas_930_ml,Acondicionador Suave Brillo/Ceramidas 930 Ml,,4322,3634.31,3634.31,0,,Ninguno,2026-06-13,Delimart,,
,https://www.delimart.com.ar/jabon_liquido_descanso_floral_x_200ml,Jabon Liquido Descanso Floral x 200ml,,4349,2474.01,2474.01,0,,Ninguno,2026-06-13,Delimart,,
,https://www.delimart.com.ar/jabon_liquido_ariel_limpieza_profunda_doy_pack_x800_ml,Jabon Liquido Ariel Limpieza Profunda Doy Pack x800 Ml,,4368,5324.51,5324.51,0,,Ninguno,2026-06-13,Delimart,,
no_disponible,https://www.carrefour.com.ar/galletitas-de-vainillas-merengadas-rellenas-de-frutilla-88-g-716912/p,Galletitas de vainillas Merengadas rellenas de frutilla 88 g.,Carrefour,2698,,,,,,,,,
,https://www.delimart.com.ar/batata__el_kg_a,Batata el kg a,,4289,1570.90,1570.90,0,,Ninguno,2026-06-13,Delimart,,
404,https://www.carrefour.com.ar/galletitas-criollitas-crackers-5-x-998-g-708531/p,,Carrefour - Las mejores ofertas en supermercados,2816,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/alimento-a-base-de-queso-rallado-la-quesera-100-g-664368/p,Alimento a base de queso rallado La quesera 100 g.,Carrefour,2927,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/dulce-de-leche-santa-clara-400-g-722007/p,Dulce de leche Santa clara 400 g.,Carrefour,2951,,,,,,,,,
,https://www.delimart.com.ar/detergente_magistral_ultra_limon_300_ml,Detergente Magistral Ultra Limón 300 Ml,,4355,3153.85,3153.85,0,,Ninguno,2026-06-13,Delimart,,
no_disponible,https://www.carrefour.com.ar/choclo-en-granos-arcor-amarillo-lata-300-g-699528-699528/p,Choclo en granos Arcor amarillo lata 300 g.,Carrefour,3286,,,,,,,,,
,https://www.delimart.com.ar/toallitas_femeninas_kotex_esencial_x_16_unidades,Toallitas Femeninas Kotex Esencial x 16 Unidades,,4354,4234.29,4234.29,0,,Ninguno,2026-06-13,Delimart,,
no_disponible,https://www.carrefour.com.ar/galletitas-formis-vainilla-rellenas-chocolate-102-g-712647/p,Galletitas Formis vainilla rellenas chocolate 102 g.,Carrefour,2685,,,,,,,,,
,https://diaonline.supermercadosdia.com.ar/huevo-blanco-extragrande-opi-6-ud-114868/p,Huevo Blanco Extragrande Opi 6 Ud 114868,,2282,0.0,0.0,,,,,Dia,Huevo Blanco Extragrande Opi 6 Ud 114868,2026-06-13 18:24:44
,https://www.delimart.com.ar/alcohol_etilico_al_70_ibatin_x_1_lt,Alcohol Etilico al 70% Ibatin x 1 lt,,4396,2607.59,2607.59,0,,Ninguno,2026-06-13,Delimart,,
