supermercado,producto_nombre,nombre,precio_descuento,precio_normal,precio_por_unidad,unidad,descuentos,url,fecha_extraccion,id_link_producto,error_type,fecha,titulo
,,,,,,,,https://www.delimart.com.ar/suavizante_de_ropa_comfort_botella__cuidado_intensivo_500_ml,,4372,exception,,"Message: 
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff6cb333435+14875]
	chromedriver!GetHandleVerifier [0x7ff6cb333490+148d0]
	chromedriver!(No symbol) [0x7ff6cae8778d]
	chromedriver!(No symbol) [0x7ff6caee195d]
	chromedriver!(No symbol) [0x7ff6caee1c5c]
	chromedriver!(No symbol) [0x7ff6caf31e37]
	chromedriver!(No symbol) [0x7ff6caf2e9fc]
	chromedriver!(No symbol) [0x7ff6caed3eb0]
	chromedriver!(No symbol) [0x7ff6caed4e23]
	chromedriver!GetHandleVerifier [0x7ff6cb916c91+5f80d1]
	chromedriver!GetHandleVerifier [0x7ff6cb91101b+5f245b]
	chromedriver!GetHandleVerifier [0x7ff6cb936305+617745]
	chromedriver!GetHandleVerifier [0x7ff6cb3503ee+3182e]
	chromedriver!GetHandleVerifier [0x7ff6cb358b0c+39f4c]
	chromedriver!GetHandleVerifier [0x7ff6cb33cb04+1df44]
	chromedriver!GetHandleVerifier [0x7ff6cb33cc94+1e0d4]
	chromedriver!GetHandleVerifier [0x7ff6cb320997+1dd7]
	KERNEL32!BaseThreadInitThunk [0x7ff99f82e957+17]
	ntdll!RtlUserThreadStart [0x7ff9a0a4427c+2c]
"
Delimart,,"Limpiador Líquido Pisos Procenex Desinfectante Original 1,8 Lts",6719.13,6719.13,0,,Ninguno,https://www.delimart.com.ar/limpiador_liquido_pisos_procenex_desinfectante_original_18_lts,,4374,,2026-06-10,
Delimart,,Limpiador de Pisos Plastificados y Flotantes Blem Almendras Dp 400 Cc,5370.12,5370.12,0,,Ninguno,https://www.delimart.com.ar/limpiador_de_pisos_plastificados_y_flotantes_blem_almendras_dp_400_cc,,4375,,2026-06-10,
Delimart,,Limpiador Aromatizante Desinfectante Poett Flores De Primavera x 4 lt,8774.87,8774.87,0,,Ninguno,https://www.delimart.com.ar/limpiador_aromatizante_desinfectante_poett_flores_de_primavera_x_4_lt,,4377,,2026-06-10,
Delimart,,Blem Embellece Cera Líquida Incolora 800 CC,13313.80,13313.80,0,,Ninguno,https://www.delimart.com.ar/blem_embellece_cera_liquida_incolora_800_cc,,4376,,2026-06-10,
Delimart,,Limpiador Aromatizante Desinfectante Poett Flores De Primavera x 1.8 Ml,3599.54,3599.54,0,,Ninguno,https://www.delimart.com.ar/limpiador_aromatizante_desinfectante_poett_flores_de_primavera_x_18_ml,,4378,,2026-06-10,
Delimart,,Limpiador Aromatizante Desinfectante Poett Flores De Primavera x 900 Ml,2075.99,2075.99,0,,Ninguno,https://www.delimart.com.ar/limpiador_aromatizante_desinfectante_poett_flores_de_primavera_x_900_ml,,4379,,2026-06-10,
Delimart,,Limpiador Glade Liquido Floral 875 ml,3223.05,3223.05,0,,Ninguno,https://www.delimart.com.ar/limpiador_glade_liquido_floral_875_ml,,4380,,2026-06-10,
Delimart,,"Limpiador Glade Liquido Paraiso Azul 1,76lt",5628.68,5628.68,0,,Ninguno,https://www.delimart.com.ar/limpiador_glade_liquido_paraiso_azul_176lt,,4381,,2026-06-10,
Delimart,,Limpiador De Piso Esencial Lavanda Natural 900 ML,1461.75,1461.75,0,,Ninguno,https://www.delimart.com.ar/limpiador_de_piso_esencial_lavanda_natural_900_ml,,4382,,2026-06-10,
